Application Name:	ZOOMA (Automatic Ontology Mapper)
[NO TYPE]	 'F344 rat',	F344, Rat Strain		Medium	NCIT_C14401	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'F344 rat',	Fischer 344		Medium	EFO_0000176	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/efo/efo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'swine',	H1N1 swine influenza virus		Good	NCBITaxon_36420	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rhesus macaque',	Macaca mulatta		Good	NCBITaxon_9544	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/mro.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Hydra attenuata',	Hydra		Good	OMIT_0007970	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Tribolium castaneum',	Tribolium castaneum		Good	NCBITaxon_7070	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'African green monkeys',	Chlorocebus aethiops		Good	NCBITaxon_9534	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/cido.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nyctereutes procyonoides',	Nyctereutes procyonoides		Medium	VTO_0010620	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Nyctereutes procyonoides',	Nyctereutes procyonoides		Medium	NCBITaxon_34880	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'baboon',	Baboon		Medium	NCIT_C14252	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'baboon',	Baboon Lymphoma		Medium	NCIT_C134766	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculoides',	Mus musculoides		Medium	NCBITaxon_60742	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mus musculoides',	Mus musculoides		Medium	VTO_0014668	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ardea herodias',	Ardea herodias		Medium	NCBITaxon_56072	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ardea herodias',	Ardea herodias		Medium	VTO_0032493	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'mice',	Mus <genus>		Good	NCBITaxon_10088	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Dicentrarchus labrax',	Dicentrarchus labrax		Good	NCBITaxon_13489	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/vg/faang	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fish',	fish eye disease, LCAT deficiency, 136120, Fish-eye disease, C0342895	; ; ; ; 	Medium	MONDO_0007620, Orphanet_650, 136120, Orphanet_79292, C0342895	http://purl.obolibrary.org/obo/, http://www.orpha.net/ORDO/, https://www.omim.org/entry/, http://www.orpha.net/ORDO/, http://identifiers.org/medgen/	https://www.ncbi.nlm.nih.gov/clinvar	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fish',	Fish-eye disease		Medium	Orphanet_79292	http://www.orpha.net/ORDO/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fish',	diet measurement		Medium	EFO_0008111	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/gwas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fish',	fish oil supplement exposure measurement		Medium	EFO_0600007	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/gwas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fish',	fish consumption measurement		Medium	EFO_0010139	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/gwas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'zebra fish',	Danio rerio		Good	NCBITaxon_7955	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Drosophila melanogaster',	Drosophila melanogaster		Good	NCBITaxon_7227	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'birds',	Aves		Good	NCBITaxon_8782	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/envo.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'goldfish',	Goldfish		Good	OMIT_0007242	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'osprey',	Lake Osprey		Medium	GAZ_00152342	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'osprey',	Osprey Pond		Medium	GAZ_00153878	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Hippopotamus amphibius',	Hippopotamus amphibius		Good	VTO_0011379	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Homo sapiens',	Homo sapiens		Good	NCBITaxon_9606	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rodents',	basal cell carcinoma		Good	EFO_0004193	http://www.ebi.ac.uk/efo/	https://github.com/EBISPOT/EFO-UKB-mappings	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Double-crested cormorant',	Influenza A virus (A/double-crested cormorant/California/20119-001/2007(H3N8))		Medium	NCBITaxon_569654	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Double-crested cormorant',	Cormorant Pass		Medium	GAZ_00090492	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'chickens, ducks, turkeys',	Ducks		Good	OMIT_0005627	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'gastropods',	Gastropoda		Good	NCBITaxon_6448	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acipenser transmontanus',	Acipenser transmontanus		Medium	TTO_1009767	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acipenser transmontanus',	Acipenser transmontanus		Medium	VTO_0058600	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Danio rerio',	Danio rerio		Good	NCBITaxon_7955	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Common Starling',	Starling Rock		Medium	GAZ_00155295	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Common Starling',	Starling Brook		Medium	GAZ_00456578	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/gaz	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rodentia sp.',	Rodentia sp.		Medium	VTO_0012723	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rodentia sp.',	Rodentia sp.		Medium	NCBITaxon_69158	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Prionailurus viverrinus',	Prionailurus viverrinus		Medium	NCBITaxon_61388	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Prionailurus viverrinus',	Prionailurus viverrinus		Medium	VTO_0010803	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mercenaria mercenaria',	Mercenaria		Good	OMIT_0024227	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acipenser fulvescens',	Acipenser fulvescens		Medium	TTO_1009747	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acipenser fulvescens',	Acipenser fulvescens		Medium	VTO_0058603	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Hamster',	Hamster		Good	NCIT_C14212	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Caenorhabditis elegans',	Caenorhabditis elegans		Good	NCBITaxon_6239	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps indicus',	Gyps indicus		Medium	VTO_0031000	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps indicus',	Gyps indicus		Medium	NCBITaxon_341451	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oryzias latipes',	Medaka Hepatoma		Medium	NCIT_C134571	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Oryzias latipes',	Medaka Melanoma		Medium	NCIT_C134572	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'mink',	Mink		Good	OMIT_0009959	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Pan troglodytes',	Pan troglodytes		Good	NCBITaxon_9598	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'rainbow trout',	Oncorhynchus mykiss		Good	NCBITaxon_8022	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ohpi.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'crab eating macaque',	Macaca fascicularis		Good	NCBITaxon_9541	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/mro.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Pimephales promelas',	Pimephales promelas		Medium	TTO_1003093	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/tto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Pimephales promelas',	Pimephales promelas		Medium	VTO_0039108	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aegypius monachus',	Aegypius monachus		Medium	NCBITaxon_8959	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Aegypius monachus',	Aegypius monachus		Medium	VTO_0030837	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	Cervical C2/C3 vertebral fusion		Medium	HP_0004602	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	C1851130		Medium	C1851130	http://identifiers.org/medgen/	https://www.ncbi.nlm.nih.gov/clinvar	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	C4021789		Medium	C4021789	http://identifiers.org/medgen/	https://www.ncbi.nlm.nih.gov/clinvar	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	spinal fracture		Medium	EFO_0003902	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/gwas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	Abnormality of the vertebral column		Medium	HP_0000925	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	Oculo-auriculo-vertebral spectrum		Medium	Orphanet_141132	http://www.orpha.net/ORDO/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	Sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome		Medium	Orphanet_397927	http://www.orpha.net/ORDO/	https://www.targetvalidation.org	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Vertebrates',	tricho-oculo-dermo-vertebral syndrome		Medium	MONDO_0011131	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'ferret',	Mustela putorius furo		Good	NCBITaxon_9669	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ohpi.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'cats',	cat-eye syndrome		Good	MONDO_0007276	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/eva	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rodentia spp.',	Seeds per pod		Medium	CO_341:0000039	http://www.cropontology.org/rdf/	http://www.cropontology.org/ontology/CO_341/Pigeonpea	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Rodentia spp.',	Rodentia		Medium	NCIT_C14270	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Puma concolor',	Puma concolor		Medium	NCBITaxon_9696	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Puma concolor',	Puma concolor		Medium	VTO_0010789	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'zebra danio',	Danio rerio		Good	NCBITaxon_7955	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/foodon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Helicoverpa zea',	Helicoverpa zea		Medium	NCBITaxon_7113	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Helicoverpa zea',	Helicoverpa zea X Helicoverpa armigera		Medium	NCBITaxon_1692169	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'common marmoset',	Callithrix jacchus		Good	NCBITaxon_9483	http://purl.obolibrary.org/obo/	http://ontology.data.humancellatlas.org/ontologies/hcao	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Radopholus similis',	Radopholus similis		Good	NCBITaxon_46012	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	Homo sapiens		Medium	NCBITaxon_9606	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/metabolights	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	HsapDv_0000002		Medium	HsapDv_0000002	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/about/collaborations/human-cell-atlas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	HsapDv_0000099		Medium	HsapDv_0000099	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/about/collaborations/human-cell-atlas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	HsapDv_0000100		Medium	HsapDv_0000100	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/about/collaborations/human-cell-atlas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	HsapDv_0000174		Medium	HsapDv_0000174	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/about/collaborations/human-cell-atlas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'humans',	HsapDv_0000087		Medium	HsapDv_0000087	http://purl.obolibrary.org/obo/	https://www.ebi.ac.uk/about/collaborations/human-cell-atlas	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Mustela lutreola',	Mustela lutreola		Good	VTO_0010578	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'fruit fly',	Drosophila melanogaster		Good	NCBITaxon_7227	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ohpi.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ostrinia nubilalis',	Ostrinia nubilalis		Medium	NCBITaxon_29057	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Ostrinia nubilalis',	Ostrinia nubilalis x Ostrinia scapulalis		Medium	NCBITaxon_912006	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'American mink',	Mink		Good	OMIT_0009959	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/omit.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Lucilia cuprina',	Lucilia cuprina		Good	NCBITaxon_7375	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acyrthosiphon kondoi',	Acyrthosiphon kondoi		Medium	NCBITaxon_34664	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Acyrthosiphon kondoi',	Acyrthosiphon kondoi endosymbiont		Medium	NCBITaxon_42474	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'orius isidiosus',	Orius		Medium	NCBITaxon_82741	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'orius isidiosus',	Orius vicinus		Medium	NCBITaxon_642073	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps bengalensis',	Gyps bengalensis		Medium	VTO_0030998	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/vto.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Gyps bengalensis',	Gyps bengalensis		Medium	NCBITaxon_43491	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Orius insidiosus',	Orius insidiosus		Medium	NCBITaxon_83647	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'Orius insidiosus',	Orius		Medium	NCBITaxon_82741	http://purl.obolibrary.org/obo/	http://purl.obolibrary.org/obo/ncbitaxon.owl	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'yeast'	control		Medium	EFO_0001461	http://www.ebi.ac.uk/efo/	https://www.ebi.ac.uk/gxa	[UNKNOWN EXPERIMENTS]
[NO TYPE]	 'yeast'	susceptibility to vaginal yeast infection measurement		Medium	EFO_0008412	http://www.ebi.ac.uk/efo/	http://www.ebi.ac.uk/gwas	[UNKNOWN EXPERIMENTS]
